prompt,label
"[Infrastructure] The crash is not at an intersection. The traffic control device is No Controls.
[Road Level] The trafficway is Not Divided Two-way. The functional class of the roadway is Unknown. The roadway class is Urban Multilane Undivided Non-Freeway.
[Dynamic Conditions] The light condition is Daylight and the weather condition is Clear.
[Position] The crash occurred in Jefferson, within a 10,000 – 25,000 area. It did not occur in a work zone.
[Time] The crash occurred on September 22, 2022 at hour 7.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 67. Gender is Male.
[Driver Behavior] The primary behavior is Animal, and the secondary behavior is Unable to Determine. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of None and was manufactured in Unknown.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Usage Unknown.
[Vehicle 1 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the East direction.",<NO APPARENT INJURY>
"[Infrastructure] The crash is at an intersection. The traffic control device is Stop Sign.
[Road Level] The trafficway is T-intersection. The functional class of the roadway is Major Collector (Includes Collector (Urban)). The roadway class is Urban Multilane Divided Non-Freeway.
[Dynamic Conditions] The light condition is Darkness, Lighted Road and the weather condition is Clear.
[Position] The crash occurred in Champaign, within a 10,000 – 25,000 area. It did not occur in a work zone.
[Time] The crash occurred on October 20, 2022 at hour 22.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 28. Gender is Female.
[Driver Behavior] The primary behavior is Unable to Determine, and the secondary behavior is Unable to Determine. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of Unknown and was manufactured in 2002.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is .220. Distraction status: No. Safety equipment used: None Used/Not Applicable.
[Vehicle 1 Vehicle Status] The unit locates at Off Pavement - Right. The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the East direction.",<FATAL>
"[Infrastructure] The crash is not at an intersection. The traffic control device is No Controls.
[Road Level] The trafficway is Divided - w/median barrier Two-way. The functional class of the roadway is Interstate. The roadway class is Urban Freeways.
[Dynamic Conditions] The light condition is Darkness, Lighted Road and the weather condition is Clear.
[Position] The crash occurred in La Salle, within a Unincorporated area. It did not occur in a work zone.
[Time] The crash occurred on October 20, 2022 at hour 23.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 33. Gender is Male.
[Person 2 Person Information] This person was in Vehicle Unit 2. The person involved is a Driver, aged 42. Gender is Male.
[Driver Behavior] The primary behavior is Improper Lane Usage, and the secondary behavior is Not Applicable. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of None and was manufactured in Unknown.
[Vehicle 2 Vehicle Information] The vehicle had a defect of None and was manufactured in 2020.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Person 2 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Vehicle 1 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Passing/Overtaking and it was traveling in the East direction.
[Vehicle 2 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the East direction.",<NO APPARENT INJURY>
"[Infrastructure] The crash is not at an intersection. The traffic control device is Other Warning Sign.
[Road Level] The trafficway is Divided - w/median barrier Two-way. The functional class of the roadway is Interstate. The roadway class is Urban Freeways.
[Dynamic Conditions] The light condition is Daylight and the weather condition is Clear.
[Position] The crash occurred in Champaign, within a Unincorporated area. It did occur in a work zone.
[Time] The crash occurred on March 16, 2022 at hour 7.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 33. Gender is Male.
[Person 2 Person Information] This person was in Vehicle Unit 2. The person involved is a Driver, aged 29. Gender is Female.
[Driver Behavior] The primary behavior is Improper Lane Usage, and the secondary behavior is Not Applicable. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of None and was manufactured in 2011.
[Vehicle 2 Vehicle Information] The vehicle had a defect of None and was manufactured in 2000.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Person 2 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Vehicle 1 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the North direction.
[Vehicle 2 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Avoiding Vehicles/Objects and it was traveling in the North direction.",<NO APPARENT INJURY>
"[Infrastructure] The crash is not at an intersection. The traffic control device is No Controls.
[Road Level] The trafficway is Not Divided Two-way. The functional class of the roadway is Minor Arterial. The roadway class is Urban 2 Lane Roads.
[Dynamic Conditions] The light condition is Darkness and the weather condition is Rain.
[Position] The crash occurred in Morgan, within a 10,000 – 25,000 area. It did not occur in a work zone.
[Time] The crash occurred on October 30, 2022 at hour 5.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 21. Gender is Male.
[Driver Behavior] The primary behavior is Operating Vehicle in Erratic, Reckless, Careless, Negligent or Aggressive Manner, and the secondary behavior is Not Applicable. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of None and was manufactured in 2008.
[Road Surface] The road surface condition is Wet. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is .110. Distraction status: No. Safety equipment used: Usage Unknown.
[Vehicle 1 Vehicle Status] The unit locates at Off Pavement - Left. The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the West direction.",<FATAL>
"[Infrastructure] The crash is at an intersection. The traffic control device is Stop Sign.
[Road Level] The trafficway is Four way. The functional class of the roadway is Minor Arterial. The roadway class is Rural 2 Lane Roads.
[Dynamic Conditions] The light condition is Daylight and the weather condition is Clear.
[Position] The crash occurred in Ogle, within a Unincorporated area. It did not occur in a work zone.
[Time] The crash occurred on June 19, 2022 at hour 15.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 46. Gender is Female.
[Person 2 Person Information] This person was in Vehicle Unit 2. The person involved is a Driver, aged 60. Gender is Male.
[Driver Behavior] The primary behavior is Failing To Yield Right-of-Way, and the secondary behavior is Not Applicable. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of Unknown and was manufactured in 2015.
[Vehicle 2 Vehicle Information] The vehicle had a defect of Unknown and was manufactured in 2001.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is .000. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Person 2 Person Status] The driver's blood alcohol content is .026. Distraction status: No. Safety equipment used: Usage Unknown.
[Vehicle 1 Vehicle Status] The unit locates at Intersection. The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the North direction.
[Vehicle 2 Vehicle Status] The unit locates at Intersection. The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the East direction.",<FATAL>
"[Infrastructure] The crash is not at an intersection. The traffic control device is Traffic Signal.
[Road Level] The trafficway is Divided, no median barrier Two-way. The functional class of the roadway is Other Principal Arterial. The roadway class is Urban Multilane Divided Non-Freeway.
[Dynamic Conditions] The light condition is Daylight and the weather condition is Clear.
[Position] The crash occurred in Lake, within a 25,000 – 50,000 area. It did not occur in a work zone.
[Time] The crash occurred on July 8, 2022 at hour 10.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 73. Gender is Male.
[Person 3 Person Information] This person was in Vehicle Unit 2. The person involved is a Driver, aged 20. Gender is Male.
[Driver Behavior] The primary behavior is Failing to Reduce Speed to Avoid Crash, and the secondary behavior is Not Applicable. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of None and was manufactured in 2017.
[Vehicle 2 Vehicle Information] The vehicle had a defect of None and was manufactured in 2018.
[Vehicle 3 Vehicle Information] The vehicle had a defect of None and was manufactured in 2003.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Person 3 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Vehicle 1 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Slow/Stop in Traffic and it was traveling in the North direction.
[Vehicle 2 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the North direction.
[Vehicle 3 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Slow/Stop in Traffic and it was traveling in the North direction.",<MINOR INJURY>
"[Infrastructure] The crash is not at an intersection. The traffic control device is No Controls.
[Road Level] The trafficway is Not Divided Two-way. The functional class of the roadway is Unknown. The roadway class is Urban 2 Lane Roads.
[Dynamic Conditions] The light condition is Darkness, Lighted Road and the weather condition is Rain.
[Position] The crash occurred in Cook, within a Chicago area. It did not occur in a work zone.
[Time] The crash occurred on November 15, 2022 at hour 20.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 34. Gender is Male.
[Person 2 Person Information] This person was in Vehicle Unit 2. The person involved is a Driver, aged 34. Gender is Male.
[Driver Behavior] The primary behavior is Improper Lane Usage, and the secondary behavior is Weather. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of Unknown and was manufactured in 2004.
[Vehicle 2 Vehicle Information] The vehicle had a defect of Unknown and was manufactured in Unknown.
[Road Surface] The road surface condition is Wet. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: Yes. Safety equipment used: Usage Unknown.
[Person 2 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: Yes. Safety equipment used: Usage Unknown.
[Vehicle 1 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the East direction.
[Vehicle 2 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Changing Lanes and it was traveling in the East direction.",<NO APPARENT INJURY>
"[Infrastructure] The crash is not at an intersection. The traffic control device is No Controls.
[Road Level] The trafficway is Not Divided Two-way. The functional class of the roadway is Major Collector (Includes Collector (Urban)). The roadway class is Rural 2 Lane Roads.
[Dynamic Conditions] The light condition is Darkness and the weather condition is Clear.
[Position] The crash occurred in Randolph, within a Unincorporated area. It did not occur in a work zone.
[Time] The crash occurred on April 24, 2022 at hour 3.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 27. Gender is Male.
[Driver Behavior] The primary behavior is Under the Influence of Alcohol/Drugs(Use When Arrest Is Effected), and the secondary behavior is Failing to Reduce Speed to Avoid Crash. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of None and was manufactured in 2007.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Usage Unknown.
[Vehicle 1 Vehicle Status] The unit locates at Off Pavement - Left. The vehicle's maneuver prior to the crash was Other and it was traveling in the South direction.",<SERIOUS INJURY>
"[Infrastructure] The crash is not at an intersection. The traffic control device is Traffic Signal.
[Road Level] The trafficway is Divided, no median barrier Two-way. The functional class of the roadway is Unknown. The roadway class is Urban 2 Lane Roads.
[Dynamic Conditions] The light condition is Daylight and the weather condition is Clear.
[Position] The crash occurred in Cook, within a Over 50,000 area. It did not occur in a work zone.
[Time] The crash occurred on November 20, 2022 at hour 11.
[Person 1 Person Information] This person was in Vehicle Unit 1. The person involved is a Driver, aged 19. Gender is Male.
[Driver Behavior] The primary behavior is Unable to Determine, and the secondary behavior is Unable to Determine. The crash is not a hit-and-run incident.
[Vehicle 1 Vehicle Information] The vehicle had a defect of None and was manufactured in 2016.
[Vehicle 2 Vehicle Information] The vehicle had a defect of None and was manufactured in 2013.
[Road Surface] The road surface condition is Dry. The road defect condition is nan.
[Person 1 Person Status] The driver's blood alcohol content is Not Tested. Distraction status: No. Safety equipment used: Shoulder and Lap Belt Used.
[Vehicle 1 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Straight Ahead and it was traveling in the West direction.
[Vehicle 2 Vehicle Status] The unit locates at On Pavement (Roadway). The vehicle's maneuver prior to the crash was Parked and it was traveling in the West direction.",<NO APPARENT INJURY>
